,id,group,year,month,replace,miles
0,144.0,50.0,1981.0,5.0,0.0,2208.0
1,144.0,50.0,1981.0,6.0,0.0,5418.0
2,144.0,50.0,1981.0,7.0,0.0,8547.0
3,144.0,50.0,1981.0,8.0,0.0,11566.0
4,144.0,50.0,1981.0,9.0,0.0,15890.0
5,144.0,50.0,1981.0,10.0,0.0,19434.0
6,144.0,50.0,1981.0,11.0,0.0,23000.0
7,144.0,50.0,1981.0,12.0,0.0,26282.0
8,144.0,50.0,1982.0,1.0,0.0,30322.0
9,144.0,50.0,1982.0,2.0,0.0,34604.0
10,144.0,50.0,1982.0,3.0,0.0,36784.0
11,144.0,50.0,1982.0,4.0,0.0,40160.0
12,144.0,50.0,1982.0,5.0,0.0,43337.0
13,144.0,50.0,1982.0,6.0,0.0,46509.0
14,144.0,50.0,1982.0,7.0,0.0,50725.0
15,144.0,50.0,1982.0,8.0,0.0,52691.0
16,144.0,50.0,1982.0,9.0,0.0,55462.0
17,144.0,50.0,1982.0,10.0,0.0,58783.0
18,144.0,50.0,1982.0,11.0,0.0,61836.0
19,144.0,50.0,1982.0,12.0,0.0,65962.0
20,144.0,50.0,1983.0,1.0,0.0,68025.0
21,144.0,50.0,1983.0,2.0,0.0,71889.0
22,144.0,50.0,1983.0,3.0,0.0,75621.0
23,144.0,50.0,1983.0,4.0,0.0,79345.0
24,144.0,50.0,1983.0,5.0,0.0,83168.0
25,144.0,50.0,1983.0,6.0,0.0,84875.0
26,144.0,50.0,1983.0,7.0,0.0,88408.0
27,144.0,50.0,1983.0,8.0,0.0,91674.0
28,144.0,50.0,1983.0,9.0,0.0,93120.0
29,144.0,50.0,1983.0,10.0,0.0,95787.0
30,144.0,50.0,1983.0,11.0,0.0,97897.0
31,144.0,50.0,1983.0,12.0,0.0,101050.0
32,144.0,50.0,1984.0,1.0,0.0,104843.0
33,144.0,50.0,1984.0,2.0,0.0,109452.0
34,144.0,50.0,1984.0,3.0,0.0,113084.0
35,144.0,50.0,1984.0,4.0,0.0,117360.0
36,144.0,50.0,1984.0,5.0,0.0,121154.0
37,144.0,50.0,1984.0,6.0,0.0,124959.0
38,144.0,50.0,1984.0,7.0,0.0,129324.0
39,144.0,50.0,1984.0,8.0,0.0,133099.0
40,144.0,50.0,1984.0,9.0,0.0,136493.0
41,144.0,50.0,1984.0,10.0,0.0,139512.0
42,144.0,50.0,1984.0,11.0,0.0,140871.0
43,144.0,50.0,1984.0,12.0,0.0,142747.0
